epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,6286.1,0.12175,0.18036,0.05521,0.00228,0.02258,0.99566,0.99074,0.99473,0.98991,0.99828,0.98954,0.99487,0.98271,0.08059,0.18909,0.0508,0.00143,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6367.13,0.11906,0.17671,0.05678,0.00224,0.02278,0.99693,0.98767,0.99471,0.98926,0.99883,0.98748,0.9949,0.98391,0.0803,0.18865,0.05186,0.0014,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6447.94,0.11697,0.17936,0.05526,0.00219,0.02333,0.99778,0.99103,0.99479,0.98987,0.99772,0.99098,0.9949,0.98419,0.0804,0.18851,0.0468,0.00139,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6528.55,0.11369,0.17516,0.05464,0.00213,0.02266,0.99831,0.98736,0.99472,0.98979,0.99834,0.98738,0.99483,0.9832,0.08042,0.18781,0.04989,0.00139,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6609,0.11288,0.1774,0.05133,0.00214,0.02234,0.99344,0.98746,0.99474,0.98946,0.99388,0.9885,0.99477,0.98304,0.08025,0.18718,0.05285,0.00139,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6689.5,0.11007,0.17527,0.05256,0.00209,0.0226,0.99595,0.98568,0.99463,0.98919,0.99599,0.98571,0.99478,0.98302,0.07855,0.18649,0.05496,0.00137,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6769.99,0.10896,0.17997,0.05117,0.00201,0.02273,0.99486,0.98705,0.99451,0.99012,0.99552,0.98781,0.99473,0.98304,0.07784,0.18638,0.05322,0.00137,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6850.89,0.10664,0.17636,0.05269,0.00201,0.02241,0.99441,0.98643,0.99459,0.99022,0.99483,0.98772,0.99479,0.98264,0.07796,0.18524,0.05335,0.00137,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6931.81,0.10363,0.17547,0.05688,0.00191,0.02243,0.99491,0.98614,0.99462,0.99023,0.99542,0.98703,0.99473,0.98334,0.07866,0.18424,0.05399,0.00137,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7012.72,0.10096,0.17359,0.05741,0.00187,0.02225,0.99587,0.98655,0.99474,0.99027,0.99535,0.98929,0.99474,0.9835,0.07754,0.18316,0.05178,0.00135,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7093.57,0.09925,0.17164,0.05318,0.00184,0.02216,0.9975,0.98577,0.99474,0.99026,0.99633,0.98885,0.99475,0.98352,0.07772,0.18267,0.05075,0.00135,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7174.58,0.09695,0.17141,0.05216,0.00182,0.022,0.99536,0.98307,0.99464,0.99011,0.99528,0.98582,0.99464,0.98363,0.07764,0.18287,0.05248,0.00134,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7255.77,0.09515,0.16914,0.05029,0.00177,0.02146,0.99412,0.98186,0.99458,0.98948,0.99482,0.98255,0.99458,0.98319,0.07799,0.18324,0.05592,0.00136,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
